step;root mean square deviation [a0];HF energy [eV];MP2 energy [eV];CCSD energy [eV];VQE UCCSD (6, 6) energy [eV]
0;0;-47554.39687;-47582.17848;-47578.9105;-47554.54596
1;0.284617533;-47556.28237;-47583.46152;-47580.45891;-47556.33308
2;0.569235067;-47557.04345;-47583.80642;-47580.97514;-47557.05995
3;0.8538526;-47557.31493;-47583.81277;-47581.08058;-47557.32204
4;1.138470134;-47557.37793;-47583.7112;-47581.0327;-47557.38224
5;1.423087667;-47557.35427;-47583.58286;-47580.93253;-47557.35769
6;1.707705201;-47557.29846;-47583.45585;-47580.82042;-47557.30152
7;1.992322734;-47557.23557;-47583.34053;-47580.71352;-47557.23828
8;2.276940268;-47557.17641;-47583.24027;-47580.6186;-47557.17824
9;2.561557801;-47557.1247;-47583.15517;-47580.53737;-47557.12539
10;2.846175335;-47557.08098;-47583.08401;-47580.46929;-47557.08119
11;3.130792868;-47557.04447;-47583.02522;-47580.41303;-47557.04457
12;3.415410402;-47557.01403;-47582.97718;-47580.36701;-47557.01408
13;3.700027935;-47556.98859;-47582.93832;-47580.32971;-47556.98861
14;3.984645469;-47556.96726;-47582.90709;-47580.29965;-47556.96727
15;4.269263002;-47556.94935;-47582.88198;-47580.2754;-47556.94935
16;4.553880536;-47556.9343;-47582.86158;-47580.25568;-47556.9343
17;4.838498069;-47556.92162;-47582.84465;-47580.23935;-47556.92162
18;5.123115603;-47556.9109;-47582.83027;-47580.22552;-47556.9109
19;5.407733136;-47556.90177;-47582.81779;-47580.2136;-47556.90177
20;5.69235067;-47556.89394;-47582.80683;-47580.20319;-47556.89394
21;5.976968203;-47556.88719;-47582.7972;-47580.19407;-47556.88719
22;6.261585737;-47556.88136;-47582.78877;-47580.18612;-47556.88136
23;6.54620327;-47556.87632;-47582.78147;-47580.17923;-47556.87632
